==================================================
h: 9059, w: 6918, patch: 472*472
16.52, 10.51
14.51, 14.01
14.51, 31.53
14.01, 12.51
17.52, 10.51
15.51, 10.51
16.52, 10.51
17.52, 13.51
14.01, 14.51
18.52, 10.51
17.18, 10.51
15.51, 11.51
18.02, 11.01
18.02, 11.51
16.52, 10.51
16.52, 10.51
17.52, 10.51
15.51, 11.51
14.01, 11.51
17.02, 11.51
16.01, 11.51
16.52, 11.51
17.52, 11.51
18.02, 11.51
17.02, 11.51
17.18, 13.01
12.01, 12.01
14.01, 12.01
17.52, 12.51
17.52, 12.01
17.02, 13.01
17.52, 13.51
15.01, 11.51
15.51, 11.01
15.51, 11.01
16.52, 11.01
16.52, 11.01
17.52, 11.01
16.01, 11.01
17.02, 11.01
14.50, 11.01
17.02, 11.51
15.01, 14.51
14.51, 14.51
17.02, 15.01
17.02, 15.01
17.52, 10.51
15.01, 10.51
16.01, 20.02
14.01, 11.51
15.51, 12.01
16.52, 11.51
16.52, 12.01
16.52, 11.51
16.01, 11.51
18.25, 11.51
16.52, 11.01
16.52, 11.01
16.52, 11.51
17.52, 11.01
16.01, 12.01
14.01, 12.51
16.52, 10.51
15.51, 23.02
14.01, 10.51
15.01, 10.51
16.52, 12.51
10.51, 13.51
17.02, 12.51
17.52, 23.02
18.25, 10.51
14.51, 10.51
12.51, 11.01
18.52, 11.01
15.51, 22.52
21.02, 17.52
16.01, 16.01
17.02, 12.51
16.01, 17.52
14.51, 14.51
15.01, 12.01
16.52, 12.01
14.51, 12.01
17.02, 12.01
16.01, 21.52
18.79, 15.51
16.01, 11.01
16.01, 11.51
16.52, 12.01
16.52, 12.01
17.02, 12.01
16.01, 13.01
17.02, 14.01
14.51, 17.52
14.51, 21.02
15.51, 14.01
16.52, 11.01
15.01, 11.51
17.02, 11.51
16.52, 12.01
18.79, 11.51
17.02, 11.51
15.01, 11.51
14.51, 11.01
13.01, 10.51
19.02, 16.52
15.01, 13.01
15.01, 13.01
15.51, 12.51
15.51, 15.01
17.02, 10.51
12.01, 11.51
16.01, 11.51
17.02, 11.51
18.02, 11.51
17.72, 12.01
17.02, 11.01
15.01, 11.01
13.01, 11.51
14.51, 11.51
17.02, 12.01
15.51, 15.51
16.01, 13.51
16.01, 17.52
14.01, 12.01
15.51, 12.01
16.01, 10.51
17.02, 11.01
13.51, 11.01
17.52, 11.01
16.11, 11.01
16.01, 11.51
16.01, 11.51
18.02, 11.01
17.02, 11.01
17.02, 10.51
11.01, 10.51
15.01, 12.51
14.51, 10.51
13.01, 10.51
19.02, 19.52
17.52, 11.51
16.52, 11.51
16.52, 11.51
17.02, 11.51
17.18, 11.51
16.01, 10.51
16.52, 11.01
16.52, 11.01
19.02, 11.01
16.01, 11.51
15.51, 13.51
16.52, 14.01
15.51, 12.01
15.51, 12.01
16.52, 11.51
13.51, 10.51
16.01, 10.51
17.02, 10.51
15.51, 11.01
15.03, 11.01
16.52, 11.51
15.01, 11.51
15.01, 10.51
15.51, 12.01
16.01, 10.51
15.51, 10.51
16.52, 10.51
16.01, 10.51
14.01, 10.51
15.01, 10.51
13.51, 11.51
17.02, 11.51
13.01, 11.51
18.02, 11.51
17.72, 10.51
19.52, 10.51
15.01, 10.51
15.51, 10.51
15.51, 10.51
17.02, 10.51
15.51, 10.51
16.01, 10.51
13.51, 10.51
14.51, 11.51
15.51, 11.51
16.52, 11.51
17.02, 11.51
15.01, 14.01
18.52, 10.51
17.72, 10.51
16.01, 12.01
13.51, 11.51
15.51, 12.01
18.52, 12.01
16.01, 11.51
17.02, 11.51
14.51, 11.51
15.01, 14.01
14.51, 11.01
15.51, 10.51
17.52, 10.51
16.52, 11.01
16.52, 10.51
18.52, 21.52
16.11, 11.51
17.02, 11.01
17.02, 11.51
16.01, 23.02
16.52, 14.51
16.52, 23.02
16.01, 20.02
15.01, 10.51
16.52, 10.51
16.52, 10.51
15.51, 12.01
16.01, 11.51
16.01, 11.01
16.52, 11.51
16.52, 11.01
16.11, 11.01
18.02, 11.51
15.51, 10.51
15.51, 10.51
18.02, 11.51
13.01, 11.51
13.51, 12.51
14.51, 11.51
10.51, 12.01
13.51, 10.51
15.01, 11.01
16.52, 11.01
17.02, 11.01
17.02, 11.01
16.52, 10.51
17.72, 10.51
14.51, 22.02
19.52, 12.51
17.02, 11.01
17.52, 10.51
10.51, 10.51
17.52, 11.51
15.01, 11.51
15.51, 12.01
15.01, 10.51
17.52, 10.51
16.52, 10.51
16.52, 11.01
10.51, 10.51
18.02, 10.51
18.25, 10.51
20.52, 12.51
10.51, 12.01
15.01, 11.01
17.02, 12.01
16.52, 11.01
14.01, 10.51
15.51, 21.52
17.52, 11.01
14.01, 11.01
15.51, 11.01
16.52, 11.01
16.01, 11.01
14.01, 11.01
17.52, 11.01
18.25, 13.51
average: 16.00
average: 12.25
